geography code,total,M 0_15 1PE,M 0_15 1PA,M 0_15 1FE,M 0_15 1FM-0C,M 0_15 1FM-nC,M 0_15 1FM-nA,M 0_15 1FC-0C,M 0_15 1FC-nC,M 0_15 1FC-nA,M 0_15 1FL-nC,M 0_15 1FL-nA,M 0_15 1H-nC,M 0_15 1H-nS,M 0_15 1H-nE,M 0_15 1H-nA,M 16_24 1PE,M 16_24 1PA,M 16_24 1FE,M 16_24 1FM-0C,M 16_24 1FM-nC,M 16_24 1FM-nA,M 16_24 1FC-0C,M 16_24 1FC-nC,M 16_24 1FC-nA,M 16_24 1FL-nC,M 16_24 1FL-nA,M 16_24 1H-nC,M 16_24 1H-nS,M 16_24 1H-nE,M 16_24 1H-nA,M 25_34 1PE,M 25_34 1PA,M 25_34 1FE,M 25_34 1FM-0C,M 25_34 1FM-nC,M 25_34 1FM-nA,M 25_34 1FC-0C,M 25_34 1FC-nC,M 25_34 1FC-nA,M 25_34 1FL-nC,M 25_34 1FL-nA,M 25_34 1H-nC,M 25_34 1H-nS,M 25_34 1H-nE,M 25_34 1H-nA,M 35_49 1PE,M 35_49 1PA,M 35_49 1FE,M 35_49 1FM-0C,M 35_49 1FM-nC,M 35_49 1FM-nA,M 35_49 1FC-0C,M 35_49 1FC-nC,M 35_49 1FC-nA,M 35_49 1FL-nC,M 35_49 1FL-nA,M 35_49 1H-nC,M 35_49 1H-nS,M 35_49 1H-nE,M 35_49 1H-nA,M 50+ 1PE,M 50+ 1PA,M 50+ 1FE,M 50+ 1FM-0C,M 50+ 1FM-nC,M 50+ 1FM-nA,M 50+ 1FC-0C,M 50+ 1FC-nC,M 50+ 1FC-nA,M 50+ 1FL-nC,M 50+ 1FL-nA,M 50+ 1H-nC,M 50+ 1H-nS,M 50+ 1H-nE,M 50+ 1H-nA,F 0_15 1PE,F 0_15 1PA,F 0_15 1FE,F 0_15 1FM-0C,F 0_15 1FM-nC,F 0_15 1FM-nA,F 0_15 1FC-0C,F 0_15 1FC-nC,F 0_15 1FC-nA,F 0_15 1FL-nC,F 0_15 1FL-nA,F 0_15 1H-nC,F 0_15 1H-nS,F 0_15 1H-nE,F 0_15 1H-nA,F 16_24 1PE,F 16_24 1PA,F 16_24 1FE,F 16_24 1FM-0C,F 16_24 1FM-nC,F 16_24 1FM-nA,F 16_24 1FC-0C,F 16_24 1FC-nC,F 16_24 1FC-nA,F 16_24 1FL-nC,F 16_24 1FL-nA,F 16_24 1H-nC,F 16_24 1H-nS,F 16_24 1H-nE,F 16_24 1H-nA,F 25_34 1PE,F 25_34 1PA,F 25_34 1FE,F 25_34 1FM-0C,F 25_34 1FM-nC,F 25_34 1FM-nA,F 25_34 1FC-0C,F 25_34 1FC-nC,F 25_34 1FC-nA,F 25_34 1FL-nC,F 25_34 1FL-nA,F 25_34 1H-nC,F 25_34 1H-nS,F 25_34 1H-nE,F 25_34 1H-nA,F 35_49 1PE,F 35_49 1PA,F 35_49 1FE,F 35_49 1FM-0C,F 35_49 1FM-nC,F 35_49 1FM-nA,F 35_49 1FC-0C,F 35_49 1FC-nC,F 35_49 1FC-nA,F 35_49 1FL-nC,F 35_49 1FL-nA,F 35_49 1H-nC,F 35_49 1H-nS,F 35_49 1H-nE,F 35_49 1H-nA,F 50+ 1PE,F 50+ 1PA,F 50+ 1FE,F 50+ 1FM-0C,F 50+ 1FM-nC,F 50+ 1FM-nA,F 50+ 1FC-0C,F 50+ 1FC-nC,F 50+ 1FC-nA,F 50+ 1FL-nC,F 50+ 1FL-nA,F 50+ 1H-nC,F 50+ 1H-nS,F 50+ 1H-nE,F 50+ 1H-nA
E02005973,5501,0,0,0,0,295,0,1,44,0,77,0,27,0,0,0,0,7,0,0,29,33,18,9,7,21,18,7,0,0,42,0,28,0,27,49,27,55,21,0,2,13,15,0,0,68,0,84,0,37,240,27,32,37,3,9,18,15,0,0,42,119,106,292,219,52,109,26,10,6,5,23,12,0,2,56,0,0,0,0,314,0,0,50,0,79,0,34,0,0,0,0,8,0,4,40,34,23,12,4,33,18,14,0,0,22,0,27,0,31,80,21,58,20,0,17,8,18,0,0,71,0,74,0,38,233,28,27,40,7,74,8,23,0,0,18,417,117,300,212,24,100,36,5,2,18,64,13,0,6,56
E02005974,6018,0,0,0,0,439,0,0,57,0,84,0,42,0,0,0,0,26,0,0,75,27,11,13,0,28,21,12,2,0,32,0,46,0,27,51,21,69,26,0,0,6,6,1,0,70,0,89,0,60,359,18,46,44,3,6,17,17,0,0,29,96,91,276,205,106,96,26,7,1,6,16,11,0,6,38,0,0,0,0,438,0,0,69,0,87,0,18,0,0,0,0,10,0,0,48,32,17,13,2,29,21,17,0,0,26,0,39,0,35,73,19,78,31,0,19,7,18,0,0,61,0,66,0,57,380,16,47,50,2,86,15,28,0,0,37,277,94,278,198,57,89,22,5,1,21,47,23,0,6,48
E02005975,7564,0,0,0,0,582,0,0,50,0,84,0,35,0,0,0,0,0,0,0,127,84,2,9,9,17,11,11,0,0,27,0,13,0,18,40,66,26,12,2,0,13,8,0,0,19,0,53,0,87,466,36,30,38,1,3,13,18,0,0,19,112,88,439,454,167,209,50,9,14,5,32,23,0,8,55,0,0,0,0,535,0,0,47,0,75,0,33,0,0,0,0,1,0,2,112,65,4,4,8,22,12,11,0,0,19,0,11,0,29,62,34,23,21,0,15,6,17,0,0,20,0,40,0,93,512,49,29,36,4,65,10,31,0,0,16,295,80,449,435,103,187,54,2,12,19,54,24,0,12,71
E02005976,5795,0,0,0,0,476,0,0,43,0,51,0,39,0,0,0,0,3,0,1,86,52,1,6,3,17,9,7,0,0,8,0,8,0,10,28,40,13,7,2,1,9,10,0,0,27,0,38,0,58,372,24,30,29,1,2,10,20,0,0,17,62,54,305,356,146,143,50,13,5,2,20,23,0,8,47,0,0,0,0,499,0,0,35,0,39,0,35,0,0,0,0,2,0,1,75,33,2,5,2,22,17,11,0,0,11,0,8,0,17,36,33,20,8,0,4,4,13,0,0,22,0,29,0,70,433,22,30,34,1,44,14,28,0,0,11,182,75,307,339,81,134,40,7,5,16,37,26,0,22,62
E02005977,5677,0,0,0,0,405,0,0,63,0,55,0,25,0,0,0,0,0,0,0,82,59,3,17,3,24,10,6,0,0,17,0,4,0,18,32,48,18,17,2,0,18,5,0,0,29,0,35,0,52,347,37,29,51,2,9,18,15,0,0,35,87,47,364,258,108,165,29,12,4,6,22,15,0,8,38,0,0,0,0,384,0,0,59,0,67,0,12,0,0,0,0,0,0,1,78,40,5,8,2,26,16,13,0,0,19,0,6,0,22,61,35,21,20,0,12,8,4,0,0,14,0,35,0,60,364,29,32,52,2,58,18,20,0,0,23,221,76,366,245,61,155,29,6,4,6,59,19,0,17,34
E02005993,6283,0,0,0,0,354,0,0,89,0,103,0,43,0,0,0,0,17,0,1,92,67,15,15,6,38,23,17,2,0,20,0,32,0,35,59,38,61,43,5,1,11,16,1,0,41,0,87,0,64,284,46,61,44,8,8,14,20,0,0,25,129,82,271,279,82,129,45,11,9,2,20,18,0,14,32,0,0,0,0,312,0,0,81,0,111,0,34,0,0,0,0,3,0,6,62,40,29,17,10,35,18,16,2,0,32,0,39,0,43,78,14,51,41,2,37,8,17,0,0,29,0,76,0,66,305,49,57,47,9,93,14,33,1,0,23,328,101,275,266,44,110,41,5,10,16,62,14,0,10,32
E02005994,5801,0,0,0,0,411,0,0,56,0,46,0,26,0,0,0,0,8,0,0,65,45,11,10,4,18,19,9,0,0,32,0,25,0,19,50,41,36,12,3,3,7,10,0,0,19,0,50,0,78,345,30,40,41,4,7,11,18,0,0,29,92,70,265,338,93,144,49,16,7,5,24,13,0,6,45,0,0,0,0,397,0,0,63,0,55,0,26,0,0,0,0,6,0,0,78,43,18,17,4,23,9,10,0,0,18,0,12,0,29,81,20,41,13,2,7,1,9,0,0,23,0,62,0,89,352,24,37,51,4,48,12,19,0,0,28,196,102,263,311,51,132,46,6,7,15,54,18,0,7,57
E02005995,5850,0,0,0,0,412,0,0,62,0,52,0,20,0,0,0,0,1,0,0,81,50,3,12,8,16,17,10,0,0,13,0,18,0,28,39,51,21,15,4,1,9,4,0,0,11,0,51,0,60,325,26,45,48,2,4,15,17,0,0,16,100,77,317,357,105,142,49,15,14,3,25,17,0,5,35,0,0,0,0,403,0,0,66,0,51,0,18,0,0,0,0,3,0,4,59,34,6,13,4,16,7,15,0,0,15,0,9,0,29,51,29,30,20,1,9,4,8,0,0,13,0,44,0,69,363,31,34,49,2,44,14,19,0,0,14,262,120,316,347,52,126,44,7,14,18,42,17,0,8,49
E02005996,7973,0,0,0,0,521,0,0,85,0,102,0,33,0,0,0,0,5,0,1,95,75,3,6,4,33,24,15,5,0,18,0,22,0,44,60,35,65,27,2,3,12,13,0,0,37,0,78,0,94,443,45,57,57,3,15,19,25,1,0,45,166,101,414,389,139,166,60,15,8,7,33,20,0,9,64,0,0,0,0,531,0,0,87,0,116,0,27,0,0,0,0,3,0,1,110,44,16,14,4,36,13,17,6,0,20,0,23,0,61,83,17,66,29,0,25,7,16,2,0,24,0,72,0,91,498,40,48,62,3,95,15,27,0,0,25,388,135,418,369,61,139,55,3,7,17,76,26,0,16,71
E02005997,5537,0,0,0,0,294,0,0,64,0,72,0,33,0,0,0,0,1,0,0,73,74,1,17,4,23,23,12,0,0,27,0,15,0,21,38,42,30,15,2,2,17,13,0,0,14,0,62,0,59,234,37,31,45,3,5,13,17,0,0,22,99,92,306,338,114,146,40,13,4,3,34,15,0,10,34,0,0,0,0,295,0,0,48,0,66,0,29,0,0,0,0,5,0,0,94,50,10,19,1,15,13,8,0,0,12,0,16,0,26,57,17,30,15,1,20,10,15,0,0,11,0,34,0,59,263,37,23,54,2,53,16,23,0,0,14,266,94,308,325,68,123,33,8,6,17,55,26,0,9,35
E02005998,5716,0,0,0,0,394,0,0,41,0,27,0,26,0,0,0,0,2,0,2,102,76,4,10,6,14,10,10,0,0,20,0,19,0,22,48,55,39,15,1,0,10,3,0,0,28,0,38,0,57,335,44,31,41,5,5,15,20,0,0,18,78,51,311,315,99,173,43,11,4,7,22,19,0,9,53,0,0,0,0,369,0,0,64,0,25,0,29,0,0,0,0,5,0,2,87,42,14,7,1,35,6,9,0,0,19,0,27,0,25,71,23,31,18,0,5,7,9,0,0,21,0,42,0,58,351,55,37,43,5,32,11,21,0,0,14,210,79,315,313,60,143,35,6,3,11,41,20,0,12,60
E02005999,6110,0,0,0,0,366,0,0,54,0,76,0,43,0,0,0,0,3,0,1,98,77,7,16,12,16,21,15,0,0,25,0,17,0,24,52,43,40,23,4,1,11,6,0,0,20,0,60,0,67,313,55,36,46,13,9,17,35,0,0,29,93,65,312,351,118,144,46,11,14,5,34,35,0,2,46,0,0,0,0,384,0,0,64,0,62,0,27,0,0,0,0,2,0,3,97,44,15,14,7,10,15,22,0,0,19,0,15,0,31,65,17,37,21,3,15,2,8,0,0,17,0,36,0,73,350,46,33,49,12,47,13,33,0,0,25,202,86,312,330,63,139,44,6,12,8,51,38,0,8,51
E02006000,11686,0,0,0,0,739,0,0,175,0,185,0,84,0,0,0,0,22,0,5,175,131,30,25,9,62,45,32,0,0,57,0,79,0,97,173,74,160,79,7,7,35,31,0,0,123,0,158,0,134,637,66,90,115,10,14,17,39,0,0,50,100,130,387,448,153,225,68,22,15,6,38,29,0,8,60,0,0,0,0,779,0,0,184,0,185,0,69,0,0,0,0,18,0,6,156,85,44,40,9,77,27,42,0,0,62,0,66,0,117,245,30,158,94,4,50,8,41,0,0,87,0,113,0,132,633,82,81,102,14,160,28,61,0,0,33,324,166,393,423,84,203,59,15,11,28,72,38,0,12,76
E02006001,5613,0,0,0,0,383,0,0,116,0,94,0,34,0,0,0,0,4,0,2,104,57,19,19,5,38,21,13,0,0,22,0,28,0,47,90,44,69,53,5,3,13,11,0,0,48,0,88,0,57,300,40,48,61,3,9,10,21,0,0,28,47,73,148,198,77,108,27,6,7,4,25,7,0,4,31,0,0,0,0,367,0,0,108,0,105,0,27,0,0,0,0,4,0,4,60,39,34,24,3,39,11,24,0,0,23,0,37,0,58,122,19,74,52,0,21,4,13,0,0,39,0,61,0,61,287,39,38,51,5,98,17,21,0,0,10,120,80,150,181,54,97,29,6,6,15,53,8,0,5,41
E02006002,10004,0,0,0,0,481,0,0,132,0,167,0,60,0,0,0,0,20,0,4,140,79,43,36,8,60,45,39,2,0,109,0,93,0,57,116,53,140,55,4,3,31,32,0,0,164,0,146,0,94,396,62,76,84,7,18,29,42,0,0,75,190,111,404,353,101,201,51,13,13,8,35,24,0,28,97,0,0,0,0,524,0,0,132,0,192,0,66,0,0,0,0,15,0,7,121,67,61,31,7,85,30,29,5,0,85,0,65,0,78,159,33,147,63,1,45,12,37,0,0,110,0,97,0,83,405,65,52,77,11,143,30,52,0,0,53,484,171,404,346,39,181,46,7,5,24,79,29,0,9,74
E02006003,5395,0,0,0,0,315,0,0,68,0,84,0,30,0,0,0,0,11,0,1,94,58,5,17,3,22,34,13,0,0,20,0,11,0,13,36,43,29,24,3,0,12,5,0,0,39,0,49,0,53,267,52,39,49,3,5,18,16,0,0,30,79,56,277,248,90,157,46,7,4,2,33,17,0,4,50,0,0,0,0,305,0,0,71,0,79,0,21,0,0,0,0,1,0,3,67,47,21,17,0,41,12,12,0,0,21,0,11,0,19,65,22,28,28,1,12,6,8,0,0,18,0,43,0,58,268,39,33,46,3,73,13,22,0,0,12,220,65,277,239,65,147,39,5,6,11,59,21,0,7,47
E02006004,5436,0,0,0,0,331,0,0,67,0,58,0,17,0,0,0,0,10,0,2,67,50,11,12,4,15,17,5,1,0,11,0,17,0,18,36,23,27,22,0,2,12,10,0,0,27,0,63,0,84,244,32,52,34,5,9,13,13,0,0,19,108,97,307,379,102,111,58,11,5,5,26,6,0,1,38,0,0,0,0,293,0,0,53,0,55,0,30,0,0,0,0,3,0,4,55,26,9,13,4,21,5,8,1,0,17,0,13,0,24,61,22,43,24,2,9,3,10,0,0,16,0,55,0,100,266,29,34,37,3,51,11,16,0,0,21,256,78,301,347,53,93,54,2,6,10,39,10,0,2,44
E02006005,9020,0,0,0,0,736,0,0,120,0,162,0,52,0,0,0,0,16,0,17,135,68,27,32,12,47,38,13,1,0,46,0,93,0,186,339,27,176,75,3,4,11,14,0,0,75,0,130,0,160,503,55,78,72,8,17,12,29,2,0,33,45,56,162,235,62,111,31,9,6,8,24,19,0,9,37,0,0,0,0,718,0,0,132,0,147,0,44,0,0,0,0,14,0,37,148,58,69,37,9,69,22,18,3,0,47,0,82,0,202,366,18,146,73,1,59,8,20,1,0,73,0,98,0,144,464,62,58,66,9,117,20,38,3,0,21,86,75,162,221,37,96,29,3,6,11,55,26,0,11,43
E02006006,5495,0,0,0,0,347,0,0,55,0,82,0,36,0,0,0,0,13,0,1,135,66,11,10,5,32,28,9,1,0,30,0,36,0,18,62,46,36,28,1,0,10,15,0,0,40,0,95,0,72,316,51,37,38,7,7,10,18,1,0,21,86,86,209,241,69,137,28,5,6,2,18,13,0,3,43,0,0,0,0,296,0,0,55,0,74,0,30,0,0,0,0,5,0,2,100,46,20,19,8,32,13,7,0,0,29,0,17,0,27,94,20,33,28,2,27,8,16,1,0,14,0,43,0,75,308,45,25,31,9,59,21,26,2,0,19,196,93,211,232,43,126,30,2,4,13,31,12,0,6,38
E02006007,6496,0,0,0,0,485,0,0,66,0,69,0,35,0,0,0,0,4,0,0,105,70,2,8,7,24,16,10,2,0,28,0,17,0,22,53,48,32,25,3,3,13,12,0,0,40,0,62,0,82,364,35,43,42,4,1,15,15,0,0,30,103,73,325,386,123,153,50,9,9,4,22,25,0,8,46,0,0,0,0,395,0,1,63,0,53,0,23,0,0,0,0,7,0,1,78,37,7,14,8,18,13,17,0,0,16,0,18,0,32,76,21,36,35,2,14,5,13,0,0,25,0,35,0,85,396,35,42,34,8,58,19,23,0,0,21,266,97,325,372,69,139,43,6,8,17,56,19,0,10,57
